"Cost","Endogeneity","Det_OptGap","DLow","DHigh","ExogMyp_Gap","EMypLow","EMypHigh","ExogOpt_Gap","EOptLow","EOptHigh","x","ShelfLife","scale"
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.3]",34,34,34,4.10484856081138,3.70818599098695,4.50151113063581,4.09565890957176,3.69862440582654,4.49269341331698,1,"Exogenous",34
"[10, 1, 20, 5]","[1, 0.5, -0.35, -0.25]",34,34,34,5.16438671259331,4.69192929372235,5.63684413146426,4.95824586172222,4.4931970202745,5.42329470316995,1,"Exogenous",34
"[10, 1, 20, 5]","[1, 0.5, -0.3, -0.2]",34,34,34,3.86594653172216,3.45844912711273,4.27344393633159,3.86594653172216,3.45844912711273,4.27344393633159,1,"Exogenous",34
"[10, 1, 20, 5]","[1, 0.5, -0.25, -0.15]",34,34,34,2.2570502124575,1.86215330775313,2.65194711716187,2.19923947764042,1.80563081278095,2.59284814249989,1,"Exogenous",34
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",34,34,34,1.66460530320752,1.28278459200983,2.04642601440521,1.67859203464666,1.30575823276458,2.05142583652873,1,"Exogenous",34
"[10, 1, 20, 5]","[1, 0.5, -0.15, -0.05]",34,34,34,1.18543459857451,0.805659620660133,1.56520957648888,1.03961971289709,0.669020865561823,1.41021856023236,1,"Exogenous",34
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.3]",34,34,34,7.85831056904919,7.30943054328353,8.40719059481484,7.87015902018052,7.32186620040398,8.41845183995705,2,"Exogenous",34
"[10, 1, 20, 20]","[1, 0.5, -0.35, -0.25]",34,34,34,6.16609370566465,5.65430399833603,6.67788341299328,6.13952023354258,5.62772412889216,6.65131633819301,2,"Exogenous",34
"[10, 1, 20, 20]","[1, 0.5, -0.3, -0.2]",34,34,34,5.62350457786631,5.10740515862439,6.13960399710824,5.26189656750019,4.75643653982648,5.76735659517389,2,"Exogenous",34
"[10, 1, 20, 20]","[1, 0.5, -0.25, -0.15]",34,34,34,3.85955432861137,3.36511025092521,4.35399840629753,3.85955432861137,3.36511025092521,4.35399840629753,2,"Exogenous",34
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.1]",34,34,34,2.70816617530392,2.27553182617272,3.14080052443512,2.77094143477367,2.34038280011077,3.20150006943658,2,"Exogenous",34
"[10, 1, 20, 20]","[1, 0.5, -0.15, -0.05]",34,34,34,0.695814805061227,0.357193996140828,1.03443561398163,0.695814805061227,0.357193996140828,1.03443561398163,2,"Exogenous",34
"[10, 1, 20, 80]","[1, 0.5, -0.4, -0.3]",34,34,34,11.6810455688417,10.7476199786026,12.6144711590808,11.6810455688417,10.7476199786026,12.6144711590808,3,"Exogenous",34
"[10, 1, 20, 80]","[1, 0.5, -0.35, -0.25]",34,34,34,11.9050377263136,10.9960000848502,12.8140753677771,11.9050377263136,10.9960000848502,12.8140753677771,3,"Exogenous",34
"[10, 1, 20, 80]","[1, 0.5, -0.3, -0.2]",34,34,34,6.00557172894151,5.32575295409422,6.68539050378881,6.00557172894151,5.32575295409422,6.68539050378881,3,"Exogenous",34
"[10, 1, 20, 80]","[1, 0.5, -0.25, -0.15]",34,34,34,4.63673064610129,3.96642842742609,5.3070328647765,4.63673064610129,3.96642842742609,5.3070328647765,3,"Exogenous",34
"[10, 1, 20, 80]","[1, 0.5, -0.2, -0.1]",34,34,34,2.06239794432404,1.54963488011128,2.5751610085368,2.06239794432404,1.54963488011128,2.5751610085368,3,"Exogenous",34
"[10, 1, 20, 80]","[1, 0.5, -0.15, -0.05]",34,34,34,0.838651079244801,0.342104475172685,1.33519768331692,0.869510601672621,0.371661357135972,1.36735984620927,3,"Exogenous",34
"[100, 1, 20, 5]","[1, 0.5, -0.4, -0.3]",34,34,34,9.24771022081703,8.86073450054669,9.63468594108736,7.91081037518886,7.52762254572135,8.29399820465636,4,"Exogenous",34
"[100, 1, 20, 5]","[1, 0.5, -0.35, -0.25]",34,34,34,25.0968971856627,24.5192048396536,25.6745895316717,20.2941101509799,19.7575765319335,20.8306437700263,4,"Exogenous",34
"[100, 1, 20, 5]","[1, 0.5, -0.3, -0.2]",34,34,34,30.5316633094442,29.9073131060386,31.1560135128498,30.4673602436506,29.842592179135,31.0921283081663,4,"Exogenous",34
"[100, 1, 20, 5]","[1, 0.5, -0.25, -0.15]",34,34,34,31.5699853663185,30.9169095827193,32.2230611499177,28.7646400105019,28.1322050859777,29.3970749350261,4,"Exogenous",34
"[100, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",34,34,34,17.093106592354,16.5094191299243,17.6767940547837,16.5436193955962,15.9646378250394,17.1226009661529,4,"Exogenous",34
"[100, 1, 20, 5]","[1, 0.5, -0.15, -0.05]",34,34,34,3.39754614372851,2.9770138203408,3.81807846711623,3.54574615070505,3.12306786627183,3.96842443513827,4,"Exogenous",34
"[100, 1, 20, 20]","[1, 0.5, -0.4, -0.3]",34,34,34,2.79625057552707,2.48182839791606,3.11067275313807,7.19574585872771,6.78276006023943,7.60873165721599,5,"Exogenous",34
"[100, 1, 20, 20]","[1, 0.5, -0.35, -0.25]",34,34,34,10.2573302369104,9.75187165544394,10.7627888183769,10.2573302369104,9.75187165544394,10.7627888183769,5,"Exogenous",34
"[100, 1, 20, 20]","[1, 0.5, -0.3, -0.2]",34,34,34,10.1682382982998,9.67799025408986,10.6584863425098,11.6924812184107,11.1757436736831,12.2092187631382,5,"Exogenous",34
