Cost,Endogeneity,day,Approximation,RMSE,MAPE,R2
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Mon,x1,5.1403600026140355,0.8545327268166745,0.886980609567971
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Mon,x1^2,2.5153089738357655,0.4040760044146857,0.9729387053651397
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Mon,x1^3,2.3042638195374288,0.3491595661794279,0.9772893120055155
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Mon,x1x2,1.6712802485734846,0.28340841987036464,0.988052846309041
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Tue,x1,4.925133542772596,0.840270977758524,0.8730764234386307
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Tue,x1^2,1.8535238745481764,0.2966084550364947,0.9820236030740043
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Tue,x1^3,1.705918880400314,0.2661973377518082,0.9847726955219847
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Tue,x1x2,1.3080014135705806,0.21884464596287062,0.9910479457205368
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Wed,x1,5.221479769632024,0.8869269997299685,0.8675619366120966
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Wed,x1^2,2.231845848359811,0.3617505506619114,0.9758034185550043
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Wed,x1^3,2.1057008868023654,0.33152900348493025,0.9784613250477817
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Wed,x1x2,1.6148793828605088,0.27584859760677205,0.987332065708156
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Thu,x1,4.778442732037909,0.8027154006843263,0.9046757625062887
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Thu,x1^2,2.0636002791119967,0.33547365528347184,0.9822220481806399
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Thu,x1^3,1.8362643539788956,0.2862858678949588,0.985923296071094
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Thu,x1x2,1.6349794964583164,0.27234360620476034,0.9888402313755905
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Fri,x1,5.745041098765701,1.0043176371130451,0.8785738101926851
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Fri,x1^2,2.8423347267489585,0.46709786562127203,0.9702781026301663
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Fri,x1^3,2.5964450095087788,0.41102515626659136,0.9751981346162464
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Fri,x1x2,2.3261046183076384,0.3931780523675428,0.9800939736331056
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Sat,x1,5.452426396221968,0.9043191109853405,0.9410328299966467
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Sat,x1^2,2.0835716423029003,0.3391539720995601,0.991389119980027
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Sat,x1^3,1.9795839211282467,0.3278025037268468,0.9922271820267906
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Sat,x1x2,2.031662227210305,0.3305328831079381,0.991812832521283
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Sun,x1,4.311017565519585,0.6585829538147739,0.9549337011595275
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Sun,x1^2,1.9695421601520782,0.32891142245158406,0.9905936123864102
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Sun,x1^3,1.5016771705467729,0.23279580976858258,0.9945317864818539
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",Sun,x1x2,1.8610597375056972,0.31282628030140097,0.9916012832522085
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Mon,x1,4.873253868001052,0.86618894973223,0.8973266968887799
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Mon,x1^2,2.464893740231559,0.43285727269028557,0.9737326739189501
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Mon,x1^3,2.2385257683502675,0.3663323475390916,0.9783357500482418
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Mon,x1x2,1.7591520553372493,0.3180934544066143,0.986620920888193
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Tue,x1,4.6167367164830475,0.8432401661308477,0.8857279750416771
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Tue,x1^2,1.8927658697853795,0.3270197679056237,0.9807928247417348
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Tue,x1^3,1.7255781743836731,0.2907931608058266,0.9840361005057088
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Tue,x1x2,1.3993293824799788,0.24911248286640697,0.9895019263931213
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Wed,x1,4.9393024853861025,0.897939175886201,0.8812637214827885
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Wed,x1^2,2.10242937004946,0.3724978760153526,0.9784872952977499
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Wed,x1^3,1.965000830434202,0.3360449970617747,0.9812077984069797
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Wed,x1x2,1.6651025346865296,0.30396192650378956,0.9865062036946425
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Thu,x1,4.550557453913665,0.8157838814476742,0.912850044135847
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Thu,x1^2,2.034557265144525,0.35327745753152984,0.9825788105444199
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Thu,x1^3,1.8122895199445417,0.30290714190982154,0.986177292262169
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Thu,x1x2,1.6154893976439024,0.28860233231251625,0.9890163624858583
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Fri,x1,5.452519065495125,1.0213289500668536,0.891918187160624
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",Fri,x1^2,2.7508017851912814,0.4825655887230084,0.9724908716380392
