Cost,Endogeneity,day,Approximation,RMSE,MAPE,R2
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",Sun,x1^3,1.854224917533708,0.20586541006685563,0.9922876402923113
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",Sun,x1x2,2.0687532814568113,0.2487413802061023,0.9903998094959682
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Mon,x1,5.7441840296384115,0.8381275859144216,0.8664707282079952
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Mon,x1^2,2.6346688504447657,0.3593477842848763,0.9719086983159886
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Mon,x1^3,2.4373858411696214,0.31812038733930803,0.9759581237090509
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Mon,x1x2,1.5725248919639465,0.23436835137273168,0.9899927477358703
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Tue,x1,5.538593140475682,0.8306149189218771,0.8485433480282841
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Tue,x1^2,1.9882223878100536,0.26831362555287114,0.9804827176569851
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Tue,x1^3,1.8658587349955953,0.2488931326990299,0.9828111451046182
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Tue,x1x2,1.2399913716515913,0.18367646021916648,0.9924085147649305
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Wed,x1,5.772381552868588,0.8584050145623754,0.8430793454319024
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Wed,x1^2,2.420090820194371,0.3312893730859697,0.972417515713326
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Wed,x1^3,2.3032397490098035,0.30991059607635274,0.9750167838928432
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Wed,x1x2,1.5457283862127076,0.23204895530641287,0.9887478266089492
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Thu,x1,5.449545008876222,0.8082382223334393,0.8813502437124937
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Thu,x1^2,2.0985569356651155,0.2983694056173295,0.9824050565335335
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Thu,x1^3,1.9029293679167596,0.2599950825446006,0.9855325596623149
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Thu,x1x2,1.615143680339341,0.2375250361826588,0.989577577182033
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Fri,x1,6.294479175580254,0.956722609086463,0.8511858277627933
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Fri,x1^2,3.20093750412873,0.45212361532204065,0.9615160997104784
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Fri,x1^3,2.8308325101212866,0.38316059224832455,0.9699009325717688
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Fri,x1x2,2.3640796871883203,0.35209795833670116,0.9790082370382687
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Sat,x1,5.680778097961227,0.8270660187091118,0.9356719341604537
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Sat,x1^2,2.1436041111573827,0.30144885868568394,0.9908404527838816
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Sat,x1^3,1.99585049140383,0.28491010413294254,0.992059627918264
