CS,Endog.,Iteration,Cost,Low,High,EGap,ELow,EHigh
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",0,452.2229423195658,447.3119182745356,457.13396636459595,0.0,0.0,0.0
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",1,456.05156308515205,450.9388367095798,461.1642894607243,-0.8723383136773848,-1.1837021378342683,-0.5609744895205013
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",2,455.25416216520733,450.13459120501375,460.3737331254009,-0.6655179337835536,-0.9463550355488815,-0.3846808320182258
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",3,455.0661941772112,449.9534025202084,460.17898583421396,-0.6257405897897071,-0.9044730906356329,-0.3470080889437815
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",4,454.89625558289356,449.78184378544137,460.01066738034575,-0.5857493312538691,-0.8624795063814494,-0.30901915612628866
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",5,454.9649107841314,449.85386168710386,460.07595988115895,-0.6009402677633995,-0.8759288519782833,-0.32595168354851567
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",6,455.0956835965798,449.984218770249,460.2071484229106,-0.629240730481643,-0.9037780904331953,-0.3547033705300906
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",7,455.0520949766466,449.9423399772657,460.16184997602744,-0.6181829946188536,-0.888391668009391,-0.3479743212283163
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",8,454.99895187893975,449.8853731788309,460.1125305790486,-0.6039930604732081,-0.8734714957875805,-0.3345146251588357
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",9,454.9970315533035,449.886964032055,460.10709907455197,-0.6073189721950356,-0.8789894006488533,-0.3356485437412179
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",10,455.0403707418834,449.9262188205554,460.1545226632114,-0.6146703658453125,-0.8861191334268187,-0.3432215982638064
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",0,411.1281309003401,407.98975857327247,414.2665032274078,0.0,0.0,0.0
