CS,Endog.,Iteration,Cost,Low,High,EGap,ELow,EHigh
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",1,412.36188537003216,409.08436991821577,415.63940082184854,-0.40179160198152974,-0.7572368246038944,-0.04634637935916508
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",2,413.05030312863624,409.71156192943624,416.38904432783625,-0.5365666732967787,-0.8782048076635706,-0.19492853892998674
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",3,412.5615842615276,409.25526283748195,415.8679056855733,-0.4320432786564842,-0.7764876204359661,-0.08759893687700226
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",4,412.7254010940189,409.4349147726111,416.0158874154267,-0.4716692431472902,-0.8097241405041795,-0.13361434579040082
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",5,412.66039279249173,409.37356690172487,415.9472186832586,-0.4576238684961439,-0.7960192623691733,-0.11922847462311442
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",6,412.3922440993111,409.09130041955694,415.6931877790652,-0.3870165116298086,-0.7268782063295811,-0.04715481693003609
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",7,412.54661231729943,409.23068380928873,415.86254082531013,-0.42034282429715963,-0.7630599840842537,-0.07762566451006558
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",8,412.58061358712064,409.2605391039894,415.9006880702519,-0.42642564876115024,-0.7670895958414465,-0.08576170168085401
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",9,412.6747787314168,409.3424710117263,416.0070864511073,-0.4444247969200446,-0.7852844055608761,-0.10356518827921313
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",10,413.09754096174174,409.74800903357686,416.4470728899066,-0.5422837595044564,-0.8859319084147724,-0.19863561059414037
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",0,403.2166072420023,400.1893717049094,406.2438427790952,0.0,0.0,0.0
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",1,402.63419179095195,399.6396520088609,405.628731573043,-0.1052681910271404,-0.531412566284812,0.3208761842305312
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",2,402.5641581921328,399.5105247382181,405.6177916460475,0.004842912381355404,-0.3519442794011405,0.36163010416385133
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",3,401.2935166474855,398.3730831025678,404.21395019240316,0.26348241198324807,-0.1002316941737702,0.6271965181402663
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",4,401.5166319531087,398.5983858382247,404.43487806799266,0.20612770132151043,-0.1580352921948867,0.5702906948379076
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",5,401.2212943806602,398.2927613378895,404.1498274234309,0.2913307287713455,-0.06679752061945121,0.6494589781621423
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",6,401.1999367098305,398.27993834679063,404.1199350728704,0.2949638773587596,-0.0612573467748313,0.6511851014923505
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",7,401.0910577297127,398.1854600511376,403.9966554082878,0.3126739872450272,-0.04690391465486754,0.672251889144922
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",8,401.17082802281317,398.24257995670854,404.0990760889178,0.2993299764859993,-0.06299556102117804,0.6616555139931766
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",9,401.17285171704447,398.2426716447336,404.1030317893553,0.29676176972510226,-0.0691511110194129,0.6626746504696175
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",10,401.1830980174261,398.2480510689996,404.11814496585265,0.29413805266593995,-0.07409094173269937,0.6623670470645793
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",0,402.32296534596526,399.30529024356326,405.34064044836725,0.0,0.0,0.0
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",1,403.2804030941747,400.26716425948376,406.2936419288656,-0.5752790412730338,-1.075244196876355,-0.07531388566971237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",2,400.5386042223291,397.48574219491553,403.5914662497427,0.16239334345544706,-0.31453454985118545,0.6393212367620795
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",3,401.1218036869432,398.13308228283967,404.1105250910468,-0.012694522310198096,-0.49452807337509147,0.4691390287546953
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",4,401.0033736913244,397.96890456565177,404.037842816997,0.0230428061505996,-0.4670813896499768,0.513167001951176
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",5,401.21287398699064,398.1900658523525,404.23568212162877,-0.03422264790929125,-0.5241209183512548,0.45567562253267235
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",6,401.60548044789874,398.61150798408215,404.59945291171533,-0.13526093899198413,-0.6193145870003295,0.34879270901636117
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",7,401.81235009142165,398.81621754128093,404.80848264156236,-0.18556234300435137,-0.6686478482407052,0.2975231622320024
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",8,401.6533801639065,398.6741309284085,404.6326293994045,-0.1569939102077358,-0.6421676874444457,0.3281798670289742
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",9,401.9817246845723,398.977016447964,404.98643292118066,-0.23176335259333664,-0.7182138661461721,0.2546871609594988
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",10,402.2094969028712,399.1765999873079,405.2423938184345,-0.2849028498885667,-0.7756973083866291,0.20589160860949574
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",0,401.3659557367692,398.36073868434903,404.37117278918936,0.0,0.0,0.0
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",1,402.56641716803614,399.6482242360747,405.48461009999755,-0.6776973206824002,-1.1801475193392563,-0.17524712202554393
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",2,400.02272789012386,396.9955507234173,403.0499050568304,0.03255406517430734,-0.45670098948055393,0.5218091198291686
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",3,399.97469494745263,396.998240108696,402.95114978620927,0.012094756397540707,-0.4884701137288309,0.5126596265239123
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",4,400.2668670542658,397.2786992277387,403.2550348807929,-0.06142446469243725,-0.5664970013511602,0.44364807196628575
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",5,399.8338401570269,396.82023660584844,402.84744370820533,0.05968355205860745,-0.44221848334037506,0.5615855874575899
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",6,400.0948835428102,397.06021155884577,403.1295555267746,0.011625186216995547,-0.48320850426338363,0.5064588766973748
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",7,400.02146599833463,397.03853929807644,403.0043926985928,0.009426869285269987,-0.4839079517995495,0.5027616903700894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",8,399.7018235253322,396.76839763941115,402.63524941125326,0.0819878171992961,-0.3986295280088891,0.5626051624074813
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",9,400.6101575973964,397.59563212462615,403.6246830701666,-0.13749162724302516,-0.6380524570019774,0.36306920251592706
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",10,400.73395405827046,397.74850881349624,403.71939930304467,-0.1829346373140762,-0.6853867322929066,0.31951745766475415
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",0,402.2319696281104,399.21484982217476,405.249089434046,0.0,0.0,0.0
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",1,401.7975023286575,398.8509422706252,404.74406238668985,-0.22656251561691085,-0.7049475859143316,0.25182255468050996
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",2,401.39416898551235,398.32205541226625,404.46628255875845,-0.08370948623928548,-0.5764046955627966,0.4089857230842257
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",3,400.85158627709677,397.8780526012591,403.8251199529344,0.02591242531321339,-0.4539397031956772,0.505764553822104
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",4,400.48869259636314,397.46944177631934,403.50794341640693,0.14428927140461378,-0.32891242478796445,0.617490967597192
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",5,400.98914505861296,397.9437580990931,404.03453201813284,0.026054635601865668,-0.45142553955992026,0.5035348107636516
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",6,401.992788141522,398.9014344413551,405.0841418416889,-0.2194516486728151,-0.7102319567156244,0.2713286593699942
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",7,401.8124579764298,398.72867914438757,404.89623680847205,-0.17613179138413984,-0.6654649653490954,0.31320138258081576
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",8,401.875851549186,398.8143463356863,404.9373567626857,-0.19688996696665753,-0.6812457255221357,0.2874657915888206
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",9,401.91518476507235,398.84934787599263,404.9810216541521,-0.20818795993780306,-0.6945026330494255,0.27812671317381943
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",10,402.2359669528881,399.17189549927633,405.3000384064998,-0.288358924281717,-0.7730205006682189,0.19630265210478498
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",0,518.855703206798,512.2682493592429,525.4431570543532,0.0,0.0,0.0
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",1,517.5483546657243,510.7580222899121,524.3386870415366,0.004110762283160568,-0.5424418975909767,0.5506634221572978
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",2,516.9472047575615,510.17170690968425,523.7227026054387,0.1317059264393392,-0.4045972339371319,0.6680090868158103
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",3,516.7170577863866,509.9648275566447,523.4692880161285,0.1599212415300869,-0.3767939737043986,0.6966364567645724
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",4,516.7720776405039,510.01811860254367,523.5260366784642,0.14904364969409437,-0.3879455354500916,0.6860328348382803
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",5,516.7088061443875,509.9637968290397,523.4538154597352,0.159262710227254,-0.3751609823025259,0.693686402757034
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",6,516.6077319456394,509.87022476404536,523.3452391272335,0.17677028033210496,-0.355691207418107,0.7092317680823169
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",7,516.6728525544389,509.9390897573068,523.406615351571,0.16112544034441711,-0.3721175841638632,0.6943684648526974
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",8,516.5690437410545,509.8392154007654,523.2988720813437,0.17713344326615652,-0.35717701286699,0.7114438993993031
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",9,516.6076582051753,509.860742626695,523.3545737836556,0.17909213485715986,-0.3562171357966388,0.7144014055109584
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",10,516.5179440081565,509.773346059646,523.2625419566671,0.19533023886104794,-0.34010912260082216,0.730769600322918
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",0,440.4764022672949,436.4652974445861,444.48750709000365,0.0,0.0,0.0
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",1,436.16450257211045,432.00615700862534,440.32284813559556,0.6425893440860594,0.06290268731998638,1.2222760008521325
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",2,434.58314956526516,430.50889523110163,438.6574038994287,0.9784394028234529,0.40878797709424675,1.5480908285526591
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",3,435.1806444973068,431.1100608473673,439.25122814724625,0.8486107863427457,0.28354207786801977,1.4136794948174716
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",4,435.1134437756309,431.01590947772087,439.21097807354096,0.8736000615238496,0.3071057904031975,1.4400943326445017
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",5,435.0049606085123,430.89912812244097,439.11079309458364,0.9122784147310303,0.3525605338474854,1.4719962956145753
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",6,434.9869453642792,430.8973599199304,439.07653080862804,0.9173893781793779,0.364561245396275,1.4702175109624809
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",7,434.5536758627674,430.4941664363796,438.61318528915524,1.0112312396299108,0.4653218004392199,1.5571406788206017
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",8,434.60673913320494,430.5434331251561,438.67004514125375,1.0039832262233934,0.46105342983623654,1.5469130226105503
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",9,434.6979026308283,430.6267713253254,438.7690339363312,0.9819596022185519,0.4354238937502739,1.52849531068683
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",10,434.8345833110819,430.7690360429152,438.9001305792485,0.9486828700231151,0.4033818722601651,1.4939838677860653
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",0,414.46536979470284,411.0627908408691,417.86794874853655,0.0,0.0,0.0
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",1,413.5196427067685,409.95400923958806,417.0852761739489,0.09445231613180671,-0.31417964232177686,0.5030842745853903
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",2,412.7400189966531,409.18487998324196,416.2951580100642,0.306821679736372,-0.07250813347172513,0.6861514929444691
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",3,412.67779246522383,409.143572538657,416.21201239179067,0.31602245583253286,-0.05925619624379419,0.6913011079088599
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",4,412.87971001419754,409.3382816813464,416.42113834704867,0.2648285309039436,-0.11706271745041819,0.6467197792583054
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",5,412.7639104340306,409.232330628496,416.2954902395652,0.287134996098786,-0.09642951702669394,0.670699509224266
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",6,412.7938542581788,409.2575788541695,416.3301296621881,0.2804963113733634,-0.105326438150391,0.6663190608971178
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",7,412.7927927924548,409.27288097673954,416.31270460817007,0.27403988097869036,-0.1129394264799331,0.6610191884373138
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",8,412.90842442983063,409.3846291073804,416.43221975228084,0.24669792082398329,-0.14138838833829992,0.6347842299862665
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",9,412.8241851638305,409.29975852028093,416.3486118073801,0.2651873006873174,-0.1260239717075028,0.6563985730821376
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",10,412.7613487587231,409.23617860458705,416.28651891285915,0.2789969648389164,-0.11348670666126232,0.671480636339095
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",0,411.0157822312203,407.70074563986725,414.3308188225734,0.0,0.0,0.0
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",1,418.2579696197294,414.72296621026413,421.7929730291947,-2.0520241321234014,-2.5851178375489807,-1.518930426697822
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",2,410.3500634546516,406.90623920686994,413.79388770243327,-0.05056966249906734,-0.5102362728642483,0.4090969478661136
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",3,410.4768970891279,406.9810779186808,413.97271625957495,-0.058865615623816196,-0.5197893395112051,0.40205810826357274
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",4,410.1815058787594,406.7056300083958,413.65738174912303,0.007636380251478642,-0.45065296923621856,0.4659257297391759
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",5,410.48050409410115,407.0056568278352,413.9553513603671,-0.06230779076845286,-0.5182299767943931,0.3936143952574874
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",6,410.47540061116973,406.99036812643027,413.9604330959092,-0.055235414376554645,-0.5098723656595344,0.3994015369064251
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",7,410.8094531928536,407.29769805882444,414.32120832688275,-0.13169338010385104,-0.5923018871506336,0.32891512694293157
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",8,410.823380357951,407.31215287733767,414.33460783856435,-0.13431037123245085,-0.5942808530655188,0.32566011060061717
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",9,410.86777622968214,407.35970068303834,414.37585177632593,-0.1460314404242608,-0.6055291321697396,0.31346625132121797
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",10,410.8685422279752,407.3573620331683,414.3797224227821,-0.1452521754629015,-0.6057069068986147,0.31520255597281166
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",0,407.44582314413833,404.2329374454696,410.6587088428071,0.0,0.0,0.0
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",1,412.9968870599821,409.62807753774047,416.36569658222373,-1.6629611314894912,-2.1847012862386705,-1.1412209767403119
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",2,405.9412791618059,402.6572066376194,409.22535168599234,0.1443476180345318,-0.3094276946963508,0.5981229307654145
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",3,406.3100149011396,403.0162504297151,409.6037793725641,0.07126806435580747,-0.37117125806001555,0.5137073867716305
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",4,405.86497329385793,402.5961687553944,409.13377783232147,0.16954173520889582,-0.2730804102895454,0.6121638807073371
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",5,406.3198831797612,403.00676024947285,409.6330061100495,0.06648012965830812,-0.38399126872892325,0.5169515280455395
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",6,406.1087074861813,402.8223217451614,409.3950932272012,0.10840712032967367,-0.340944967714893,0.5577592083742403
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",7,406.0228201048183,402.73860841774024,409.3070317918964,0.12696866175265867,-0.32366519426168594,0.5776025177670033
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",8,406.0301677458884,402.7388138797177,409.32152161205903,0.12465749506968121,-0.32784245717005056,0.577157447309413
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",9,406.2414744880155,402.9504121484753,409.5325368275557,0.07261003585044395,-0.3799881656459656,0.5252082373468535
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",10,406.44628127131784,403.1361742597118,409.75638828292387,0.027683421982075202,-0.42845572207846505,0.4838225660426154
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",0,410.66651868324766,407.36203293080786,413.97100443568746,0.0,0.0,0.0
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",1,414.98643614329177,411.4412838172683,418.53158846931524,-1.299496932647454,-1.8121121255155495,-0.7868817397793585
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",2,409.7395877670289,406.2375049663474,413.24167056771046,0.13443169027078444,-0.2466201944888583,0.5154835750304272
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",3,410.0049115170713,406.4910475717035,413.5187754624391,0.05430295576560058,-0.3456547154819319,0.454260627013133
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",4,410.7924903205269,407.2255862096507,414.3593944314031,-0.12325430706817536,-0.5310010557860937,0.28449244164974297
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",5,409.6138686273906,406.1291899628547,413.09854729192654,0.08674132478405816,-0.3580921795752388,0.5315748291433551
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",6,409.6852918139974,406.2012108620454,413.16937276594945,0.06883728662453156,-0.37605270677376557,0.5137272800228287
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",7,409.61130584894966,406.12763799629977,413.09497370159954,0.08783515431988138,-0.3556256610045564,0.5312959696443191
