CS,Endog.,Iteration,Cost,Low,High,EGap,ELow,EHigh
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",0,351.48105612627734,347.92483166868027,355.0372805838744,0.0,0.0,0.0
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",1,361.14351579137724,357.5384445394166,364.74858704333786,-3.2433768264470584,-3.852882562019314,-2.633871090874803
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",2,360.1810380999364,356.56277741990783,363.799298779965,-2.9734990258558454,-3.602971513678023,-2.344026538033668
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",3,360.1973914765391,356.66518698261723,363.729595970461,-3.0352416721229134,-3.66468205097942,-2.405801293266407
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",4,360.33081039332205,356.8397462725915,363.8218745140526,-3.1152297704754104,-3.7525706623540227,-2.477888878596798
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",5,360.8025965722076,357.3293081369337,364.2758850074815,-3.2533816175871517,-3.883480081700477,-2.6232831534738263
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",6,361.3367352221258,357.8102129103449,364.86325753390673,-3.4169948130059393,-4.073850009683719,-2.7601396163281593
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",7,360.95391178199054,357.42919748899425,364.47862607498683,-3.31474514723085,-3.9761725467109654,-2.6533177477507346
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",8,360.7251447131033,357.19152443657225,364.25876498963436,-3.2354918071627496,-3.8920504568855248,-2.5789331574399745
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",9,361.17860849547765,357.60328883559527,364.75392815536003,-3.348671297826425,-4.009318420602974,-2.6880241750498755
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",10,360.8163362207835,357.26334798587743,364.3693244556896,-3.247448701041173,-3.901042224012406,-2.59385517806994
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",0,330.7895534410577,327.4571696905707,334.1219371915447,0.0,0.0,0.0
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",1,335.62640007613123,332.3881162553572,338.86468389690526,-2.0462066431869443,-2.665243175629348,-1.4271701107445405
