Cost,Endogeneity,Approximate,ExogMyp,ExogADP,ExogMyp_Gap,EMypLow,EMypHigh,ExogADP_Gap,EADPLow,EADPHigh
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",351.48105612627734,354.1440828790539,354.1440828790539,0.9842535333417636,0.5636357634101108,1.4048713032734164,0.9842535333417636,0.5636357634101108,1.4048713032734164
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",330.7895534410577,331.78701898533666,331.78701898533666,0.46157232327020153,0.1302366877206691,0.792907958819734,0.46157232327020153,0.1302366877206691,0.792907958819734
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",323.5513186537209,322.23264772250894,320.21529963293636,-0.0007371839494690704,-0.5366253740586634,0.5351510061597252,-0.28747214746022204,-0.9381168533889592,0.3631725584685151
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",319.6547172071934,319.91696770121183,318.2701162335076,0.6715105657417144,0.0049171086692169075,1.3381040228142118,-0.17548968613840296,-0.6039398902422936,0.2529605179654877
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",315.20037901111607,313.3835247334245,313.3835247334245,-0.15450314961602205,-0.7294083490549744,0.4204020498229303,-0.15450314961602205,-0.7294083490549744,0.4204020498229303
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",317.9740840862142,318.2396917667182,318.2396917667182,0.337832888989279,-0.13300675888929592,0.8086725368678539,0.337832888989279,-0.13300675888929592,0.8086725368678539
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",420.9079168735359,429.9277740176221,429.9277740176221,2.743509523243354,1.912174616902294,3.574844429584414,2.743509523243354,1.912174616902294,3.574844429584414
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",373.68572964769197,378.99279752607106,378.99279752607106,2.0166055176490434,1.2666045646148607,2.766606470683226,2.0166055176490434,1.2666045646148607,2.766606470683226
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",353.66832526004254,356.5763853545587,356.5763853545587,0.9779058946094461,0.604698519217826,1.3511132700010662,0.9779058946094461,0.604698519217826,1.3511132700010662
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",349.49344373414874,352.1785374437629,352.1785374437629,0.8999661615333987,0.5297096082788979,1.2702227147878995,0.8999661615333987,0.5297096082788979,1.2702227147878995
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",343.30136272586105,343.30136272586105,343.30136272586105,0.0,0.0,0.0,0.0,0.0,0.0
