Cost,Endogeneity,Approximate,ExogMyp,ExogADP,ExogMyp_Gap,EMypLow,EMypHigh,ExogADP_Gap,EADPLow,EADPHigh
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",351.17000328835377,351.17000328835377,351.17000328835377,0.0,0.0,0.0,0.0,0.0,0.0
"[10, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",584.7443258197281,561.8441746246265,561.8441746246265,-3.1880099838593274,-3.9399974732217062,-2.4360224944969486,-3.1880099838593274,-3.9399974732217062,-2.4360224944969486
"[10, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",484.9692458659912,492.2667529192002,482.5787078906031,2.1636139684563713,1.4462844275812297,2.880943509331513,0.04164600869424082,-0.5632668446323206,0.6465588620208023
"[10, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",440.17234872879413,455.1185870829095,449.60020615582226,4.375148188797841,3.6714161486753736,5.078880228920308,3.1120330501588946,2.3541612630300595,3.86990483728773
"[10, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",431.9673805229972,427.22720782692124,443.1847753361249,-0.011236846397041773,-1.1414998054039218,1.1190261126098382,3.792140095540347,2.8882878215536327,4.695992369527062
"[10, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",418.27007543752353,415.6562584494656,415.6562584494656,-0.042682394674477084,-0.694244659511218,0.6088798701622639,-0.042682394674477084,-0.694244659511218,0.6088798701622639
"[10, 1, 20, 80]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",432.72658532256514,429.7094589862631,429.7094589862631,0.16995451510892434,-0.5259213937680189,0.8658304239858676,0.16995451510892434,-0.5259213937680189,0.8658304239858676
"[100, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",1235.3567485771214,1336.1058936847394,1456.11399113558,8.473182026270937,8.014084501405971,8.932279551135903,18.297847936547107,17.772973516650016,18.8227223564442
"[100, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",1058.74719281561,1061.7592320344856,1046.6958547077415,0.3826236547115012,0.11214911580518627,0.6530981936178162,-1.0601112295192578,-1.3345657231922745,-0.7856567358462412
"[100, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",991.3302801888624,994.9210602545962,1003.414031094098,0.4171792918266553,0.2348225698783257,0.5995360137749849,1.2884966523147037,1.0797762471338352,1.497217057495572
"[100, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",967.8664562985632,958.3272816523532,973.454716078758,-0.9441919480859186,-1.132165945706327,-0.7562179504655102,0.6157337890989386,0.46897249543764097,0.7624950827602363
"[100, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",959.005646788743,958.8259152587659,958.8259152587659,-0.0023525447398262357,-0.09688205021689451,0.09217696073724203,-0.0023525447398262357,-0.09688205021689451,0.09217696073724203
"[100, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",969.483731490045,968.6059252451812,968.6059252451812,-0.0838955017067138,-0.1498141926956479,-0.01797681071777968,-0.0838955017067138,-0.1498141926956479,-0.01797681071777968
"[100, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",1380.731340851787,1924.7775256234863,1924.7775256234863,40.11166679951266,39.212385186584875,41.01094841244045,40.11166679951266,39.212385186584875,41.01094841244045
"[100, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",1209.0847152995889,1202.191460953657,1271.1142060378058,-0.35946336186500677,-0.7785043243655354,0.059577600635521866,5.439916061632694,4.9391927206332245,5.940639402632163
"[100, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",1079.0082322651804,1078.3792826010326,1092.4475688380771,0.028357777355508658,-0.24872372021317235,0.30543927492418965,1.399073949059733,1.0508787938779396,1.7472691042415265
"[100, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",1059.7323869612733,1048.8810346978655,1058.0436958307407,-0.923166808968685,-1.223363871691288,-0.622969746246082,-0.1095610155118676,-0.31583411252051374,0.09671208149677853
"[100, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",1023.8055374323513,1027.7050974633719,1027.7050974633719,0.4742374339152622,0.2242390634962249,0.7242358043342995,0.4742374339152622,0.2242390634962249,0.7242358043342995
"[100, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",1047.7496103544368,1045.8697549043616,1045.8697549043616,-0.11811963016396584,-0.33349647468244326,0.0972572143545116,-0.11811963016396584,-0.33349647468244326,0.0972572143545116
"[100, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",1613.8733348805467,2834.1511139388385,1842.776652527006,77.24089981696036,75.22019309024216,79.26160654367857,14.896228063215673,13.837184284464119,15.955271841967228
"[100, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",1430.3205048412708,1612.1417247671313,1392.0953496753764,13.161703309987725,12.229619419389579,14.093787200585872,-1.592563857505273,-2.3125162593706,-0.8726114556399458
"[100, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",1293.4865250343266,1284.6423737671837,1264.819938466174,-0.4360504368677076,-0.895465988690221,0.0233651149548057,-1.7444998403734322,-2.2380291733633,-1.250970507383564
"[100, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",1278.9816229349856,1253.441202207956,1254.6160532473489,-1.8039381341721936,-2.1991111092260756,-1.4087651591183117,-1.8055345262409168,-2.180703613871649,-1.4303654386101847
"[100, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",1195.242781461357,1186.8963673477433,1186.8963673477433,-0.5752338210053414,-0.8858220210362813,-0.2646456209744015,-0.5752338210053414,-0.8858220210362813,-0.2646456209744015
"[100, 1, 20, 80]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",1251.1896441021995,1236.5056025855406,1236.5056025855406,-1.0119978255644972,-1.3658300777340782,-0.6581655733949163,-1.0119978255644972,-1.3658300777340782,-0.6581655733949163
