CS,Endog.,Iteration,Cost,Low,High,EGap,ELow,EHigh
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",0,675.1768077192675,669.5052421429683,680.8483732955666,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",1,675.0026771386583,669.3345872828396,680.670766994477,0.02304866296407503,-0.014848219475978797,0.06094554540412886
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",2,675.1923052644706,669.5186544994743,680.8659560294669,-0.0017929628318959746,-0.011444200841267379,0.00785827517747543
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",3,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",4,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",5,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",6,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",7,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",8,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",9,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",10,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",11,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",12,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",13,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",14,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",15,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",16,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",17,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",18,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",19,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",20,675.2035064411496,669.5287753040515,680.8782375782476,-0.00314490417074024,-0.013577730929619664,0.007287922588139184
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",0,457.7704957842769,453.4390494598818,462.10194210867195,0.0,0.0,0.0
