CS,Endog.,Iteration,Cost,Low,High,LB,LBLow,LBHigh
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",0,351.48105612627734,347.92483166868027,355.0372805838744,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",1,361.14351579137724,357.5384445394166,364.74858704333786,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",2,360.1810380999364,356.56277741990783,363.799298779965,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",3,360.1973914765391,356.66518698261723,363.729595970461,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",4,360.33081039332205,356.8397462725915,363.8218745140526,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",5,360.8025965722076,357.3293081369337,364.2758850074815,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",6,361.3367352221258,357.8102129103449,364.86325753390673,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",7,360.95391178199054,357.42919748899425,364.47862607498683,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",8,360.7251447131033,357.19152443657225,364.25876498963436,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",9,361.17860849547765,357.60328883559527,364.75392815536003,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",10,360.8163362207835,357.26334798587743,364.3693244556896,343.37536145595845,333.3235257138275,353.4271971980894
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",0,330.7895534410577,327.4571696905707,334.1219371915447,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",1,335.62640007613123,332.3881162553572,338.86468389690526,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",2,335.37610416239545,332.0977232955635,338.6544850292274,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",3,335.2922551369516,332.0793974714795,338.5051128024237,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",4,334.02711225134715,330.8078974472035,337.2463270554908,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",5,333.75694898739835,330.5302470993182,336.9836508754785,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",6,333.3912084694805,330.1443037444418,336.6381131945192,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",7,333.0753285402572,329.8375068778116,336.3131502027028,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",8,332.81066858367586,329.5889516760459,336.03238549130583,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",9,332.4262367700098,329.20626665802774,335.6462068819918,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",10,331.9791507122777,328.784963179361,335.17333824519443,321.81511629810916,312.3713014911769,331.2589311050414
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",0,325.17689604352057,321.8908821989834,328.46290988805777,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",1,324.26843202608916,321.1402822732362,327.3965817789421,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",2,323.58637297134743,320.466363298748,326.7063826439469,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",3,323.5513186537209,320.4405076873522,326.6621296200896,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",4,323.82451640476137,320.7241472703098,326.92488553921294,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",5,323.76228456669764,320.661953866599,326.8626152667963,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",6,324.73441146596736,321.58215611858395,327.88666681335076,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",7,325.0092754794701,321.82032652100924,328.19822443793095,312.5814582365463,303.4098920004803,321.75302447261237
