CS,Endog.,Iteration,Cost,Low,High,LB,LBLow,LBHigh
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",8,325.1759122141154,321.9765221571822,328.37530227104855,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",9,325.3969451788781,322.19556842920684,328.5983219285494,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",10,325.1708369963744,321.96838677265737,328.37328722009147,312.5814582365463,303.4098920004803,321.75302447261237
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",0,324.07674544055425,320.8018328956729,327.3516579854356,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",1,320.89300569540416,317.869997012523,323.9160143782853,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",2,319.6547172071934,316.70926411033906,322.60017030404777,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",3,321.2616547415511,318.1500883789114,324.37322110419086,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",4,320.63275996068484,317.52246974765245,323.7430501737172,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",5,321.795189297048,318.67109316590296,324.91928542819306,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",6,321.0788569660734,317.99406367548414,324.1636502566626,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",7,320.2256270201487,317.1731684148744,323.278085625423,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",8,320.48542309645,317.44805638879575,323.52278980410426,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",9,320.5017159806307,317.4656031765764,323.537828784685,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",10,320.23933019363216,317.2304619708736,323.2481984163907,310.63514743919893,301.5189861702468,319.75130870815104
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",0,322.1724083899714,318.9149958098667,325.4298209700761,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",1,319.22229074262515,316.1904880767866,322.2540934084637,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",2,316.4102332325713,313.52191565417536,319.2985508109672,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",3,316.25038318233146,313.3606287643065,319.1401376003564,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",4,315.7501003405156,312.9028446032098,318.59735607782136,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",5,315.77463008205126,312.9231727920818,318.6260873720207,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",6,315.90798523851925,313.0546514604278,318.7613190166107,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",7,315.7579774213176,312.9084180061124,318.6075368365228,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",8,315.33903112739625,312.4859277562684,318.1921344985241,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",9,315.20037901111607,312.34351639644774,318.0572416257844,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",10,315.273751908659,312.40953433585696,318.137969481461,307.79609602263525,298.7697252269644,316.8224668183061
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",0,324.5740196986014,321.3086530922118,327.83938630499097,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",1,321.25023382552075,318.2881569003212,324.2123107507203,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",2,319.25729491281606,316.346189935371,322.1683998902611,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",3,318.41231415514375,315.543206788631,321.2814215216565,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",4,317.9740840862142,315.10626048639847,320.8419076860299,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",5,318.39927257770313,315.5301063812449,321.2684387741614,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",6,318.5472806800658,315.6482218683972,321.4463394917344,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",7,319.07060905997383,316.1289342609835,322.01228385896417,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",8,318.0068244092094,315.1132970167523,320.9003518016665,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",9,318.36780275456675,315.5468964932456,321.1887090158879,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 5]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",10,317.9802148367813,315.1348374771786,320.8255921963839,310.7748339055866,301.6510894299289,319.8985783812443
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",0,420.9079168735359,416.3057823211147,425.5100514259571,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",1,429.5380187001021,424.67345931067814,434.40257808952606,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",2,426.9033255173303,421.9641408867067,431.84251014795393,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",3,427.48436702499,422.43613448697175,432.5325995630082,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",4,427.92956249000036,422.85889342948093,433.0002315505198,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",5,427.25463977804696,422.1864946977891,432.32278485830483,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",6,427.1891026460306,422.13481529324474,432.2433899988165,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",7,427.11518928960083,422.07579040230735,432.1545881768943,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",8,427.2019196817184,422.11701040296487,432.2868289604719,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",9,427.59734336655765,422.52751132171613,432.66717541139917,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",10,427.1474960008359,422.0826630339819,432.21232896768987,392.144703138768,380.59357542242134,403.6958308551147
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",0,373.68572964769197,369.58222630810764,377.7892329872763,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",1,382.2487409621001,377.9771501685805,386.5203317556197,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",2,381.6227607303319,377.33709192134125,385.9084295393225,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",3,381.38566982172745,377.0524485475413,385.7188910959136,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",4,381.2930593934229,376.9720682448291,385.6140505420167,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",5,380.46488222815935,376.15006630665175,384.77969814966696,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",6,380.16290670154405,375.83417522852454,384.49163817456355,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",7,380.40479005863403,376.06825905081405,384.741321066454,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",8,380.4077961266419,376.0923086984892,384.72328355479465,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",9,380.3810477157535,376.0628423472717,384.69925308423524,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.05, -0.1, -0.15, -0.2]",10,380.4318524695382,376.1062518721911,384.7574530668854,357.1144333806157,346.549039502596,367.67982725863544
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",0,353.66832526004254,349.8968815477152,357.43976897236985,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",1,360.28905007572854,356.26415699106195,364.3139431603951,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",2,359.0609210530857,355.1332104578001,362.98863164837127,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",3,358.4672291512401,354.5745081074524,362.35995019502775,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",4,358.45018733785867,354.53679417726676,362.3635804984506,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",5,358.30730327084007,354.4065304470642,362.20807609461593,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",6,358.3822776575961,354.48643261246787,362.2781227027243,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",7,358.37585858774094,354.46250485845064,362.28921231703123,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",8,358.3414193455214,354.41323789737226,362.2696007936705,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",9,358.31263156948415,354.36679958130134,362.25846355766697,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.08, -0.09]",10,358.41450277382063,354.4806929284955,362.34831261914576,340.4885490693407,330.40637988588173,350.5707182527997
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",0,349.49344373414874,345.7830795726865,353.20380789561096,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",1,356.36159040500155,352.3725381252161,360.350642684787,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",2,355.77254061652025,351.79177495898097,359.7533062740595,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",3,354.4295704708949,350.5193533825272,358.33978755926256,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",4,354.37199234615184,350.472565484275,358.2714192080287,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",5,354.2718333053265,350.3812457545097,358.1624208561433,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",6,354.0477619149913,350.1684867419176,357.92703708806505,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",7,354.15027356036705,350.2892233368726,358.0113237838615,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",8,353.96116910153626,350.0988284807312,357.8235097223413,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",9,354.0884464638252,350.23548366303703,357.9414092646134,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, -0.03, -0.06, -0.03, -0.09]",10,353.9384630623703,350.0950631061329,357.78186301860774,337.11779544894944,327.12676539924513,347.10882549865374
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",0,343.30136272586105,339.67525412447964,346.9274713272425,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",1,350.1315465060115,346.3150193741039,353.9480736379191,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",2,350.06698438387457,346.21238829784943,353.9215804698997,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",3,348.79568286804334,344.991468672449,352.5998970636377,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",4,348.4603245018495,344.67635348626425,352.2442955174348,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",5,348.17281297855675,344.39244595316313,351.95318000395037,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",6,347.62016755729366,343.8738904426689,351.36644467191843,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",7,347.79308649428594,343.98447793841956,351.60169505015233,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",8,347.89324458753896,344.0912472817011,351.6952418933768,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",9,347.9566737989143,344.1417382281791,351.7716093696495,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.9, 3.1, 3.1, 2.5, 0.0, 0.0, 0.0, 0.0]",10,347.57450056578824,343.7677092298344,351.3812919017421,331.3461973988358,321.53364677103554,341.15874802663603
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",0,351.17000328835377,347.45914410958363,354.8808624671239,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",1,357.1246251205011,353.11983228480904,361.12941795619315,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",2,357.0567416367611,353.0902951394123,361.0231881341099,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",3,355.4342014763729,351.51437822610393,359.35402472664185,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",4,354.9391693934733,351.04322879469333,358.8351099922533,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",5,354.5063635469465,350.5919291407822,358.42079795311076,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",6,354.36406059239823,350.4553941436423,358.27272704115416,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",7,354.2816566831529,350.3792197571808,358.184093609125,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",8,353.9973702147139,350.13278161570213,357.86195881372566,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",9,354.22403722918204,350.3579198828903,358.0901545754738,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 20]","[1.6, 2.6, 2.8, 1.6, 0.0, 0.0, 0.0, 0.0]",10,354.1648960872573,350.3029912906725,358.02680088384216,338.2476064511741,328.21241743436065,348.2827954679875
"[10, 1, 20, 80]","[1.9, 3.1, 3.1, 2.5, -0.1, -0.2, -0.3, -0.4]",0,586.4498072680537,576.4603010033476,596.4393135327599,477.3714808049042,463.1798086697296,491.5631529400788
