CS,Endog.,Iteration,Cost,Low,High,EGap,ELow,EHigh
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",0,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",1,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",2,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",3,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",4,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",5,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",6,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",7,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",8,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",9,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",10,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",11,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",12,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",13,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",14,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",15,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",16,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",17,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",18,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",19,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",20,949.7893166460165,942.4595210114826,957.1191122805503,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",0,586.9787951892529,580.7404864693916,593.2171039091141,0.0,0.0,0.0
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",1,586.1764094827942,580.0995785309203,592.253240434668,0.038176118489943935,-0.10892239086538497,0.18527462784527282
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",2,586.2475329315359,580.1656414750279,592.329424388044,0.028572913209873013,-0.11870045571534363,0.17584628213508965
