"ShelfLife","Historical","MultiLogitFit"
"1",0.0282258064516129,0.0232468708816552
"2",0.0846774193548387,0.119731808659317
"3",0.290322580645161,0.318976394469632
"4",0.415322580645161,0.409147176573678
"5",0.181451612903226,0.128897749415717
