CS,Endog.,Iteration,OptGap,Low,High,Cost,Optimal,BasisFunction
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",10,4.535633128,3.655559423,5.415706833,598.5494131,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",11,4.531597504,3.648468165,5.414726843,598.4646107,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",12,4.483288236,3.603929639,5.362646833,598.2431962,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",13,4.498042494,3.617489457,5.378595531,598.3670128,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",14,4.442089938,3.561976499,5.322203377,598.0003376,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",15,4.403133137,3.524442325,5.28182395,597.7924557,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",16,4.403133137,3.524442325,5.28182395,597.7924557,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",17,4.403133137,3.524442325,5.28182395,597.7924557,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",18,4.374023977,3.496993564,5.25105439,597.5311174,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",19,4.374023977,3.496993564,5.25105439,597.5311174,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",20,4.23452241,3.360442902,5.108601919,596.5970509,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",0,55.70472659,53.24176052,58.16769266,810.2123512,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",1,11.75778541,10.5871377,12.92843313,587.4847619,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",2,6.799726462,5.838478717,7.760974207,561.757051,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",3,4.933559868,4.040759623,5.826360113,551.826607,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",4,4.825790687,3.937301954,5.71427942,551.5692058,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",5,4.509370714,3.63888913,5.379852299,550.1707444,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",6,4.426654461,3.55724584,5.296063083,549.784764,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",7,4.307855951,3.444876379,5.170835522,549.3892693,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",8,4.307155536,3.442579864,5.171731207,549.3848246,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",9,4.289740713,3.441362332,5.138119093,549.3739488,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",10,4.391521715,3.545843574,5.237199856,549.8477,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",11,4.403064498,3.557766764,5.248362231,549.9013909,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",12,4.359849257,3.517664333,5.202034181,549.7015495,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",13,4.307481584,3.461472312,5.153490856,549.3605866,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",14,4.332360527,3.49803414,5.166686913,549.537861,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",15,4.332900111,3.498546637,5.167253586,549.5398546,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",16,4.328981668,3.49458267,5.163380666,549.5238768,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",17,4.329141473,3.494797725,5.163485221,549.5262101,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",18,4.353110088,3.517845248,5.188374927,549.6041179,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",19,4.352690363,3.517495352,5.187885374,549.6026512,530.1045584,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",20,4.360122619,3.524746927,5.19549831,549.6473368,530.1045584,Choice 4
