CS,Endog.,Iteration,OptGap,Low,High,Cost,Optimal,BasisFunction
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",0,68.2029691,65.3240768,71.08186139,944.4595507,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",1,10.91638572,9.865592725,11.96717871,630.7075965,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",2,10.73107789,9.68883867,11.77331711,627.5170832,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",3,10.71743556,9.67824069,11.75663043,627.5535267,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",4,10.84249717,9.794796347,11.89019799,628.1233016,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",5,10.74023579,9.699301065,11.78117052,627.42611,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",6,10.03640766,9.005961103,11.06685422,623.5079673,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",7,9.903103639,8.876490342,10.92971694,622.5684453,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",8,9.946248466,8.917666157,10.97483077,622.7384198,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",9,10.05886085,9.030158119,11.08756358,623.3624138,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",10,10.94848954,9.885341857,12.01163722,627.9284592,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",11,10.87962207,9.817084063,11.94216008,627.5300515,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",12,10.89506466,9.832507707,11.95762161,627.614038,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",13,11.00352886,9.93334701,12.07371072,628.0474054,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",14,11.00537414,9.935263646,12.07548464,628.057709,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",15,10.96580389,9.884499916,12.04710787,627.7776411,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",16,10.95225883,9.87092962,12.03358803,627.6931855,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",17,10.90952523,9.830392598,11.98865786,627.4719003,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",18,11.62940554,10.5211082,12.73770289,631.0933614,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",19,11.65487893,10.54698279,12.76277508,631.2429218,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",20,11.44846829,10.35509423,12.54184236,630.2004813,574.8620357,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",0,55.70472659,53.24176052,58.16769266,810.2123512,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",1,12.78181501,11.69295677,13.87067325,587.2781924,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",2,10.4995443,9.464190255,11.53489834,575.7832672,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",3,11.48081812,10.37574703,12.58588921,580.5849704,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",4,11.37620827,10.26997249,12.48244405,580.1475185,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",5,11.14040876,10.04075118,12.24006635,579.1671293,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",6,11.21316749,10.10362634,12.32270863,579.2551298,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",7,11.62863851,10.52345854,12.73381848,581.4758527,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",8,11.98489472,10.87899328,13.09079615,583.2792301,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",9,12.003329,10.89610324,13.11055476,583.3429981,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",10,12.3157448,11.20367819,13.42781141,584.9432688,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",11,12.70459314,11.59810738,13.81107889,587.111204,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",12,12.72037678,11.61565801,13.82509554,587.2100417,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",13,10.60472092,9.585297922,11.62414391,577.2347166,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",14,10.90496098,9.890772991,11.91914898,578.7928251,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",15,10.79523505,9.784189256,11.80628084,578.2326946,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",16,10.79523505,9.784189256,11.80628084,578.2326946,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",17,10.79513286,9.784083279,11.80618243,578.2320375,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",18,10.80511776,9.794411816,11.81582371,578.291784,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",19,10.81019558,9.798940613,11.82145056,578.3111429,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",20,10.9318315,9.917126556,11.94653644,578.8464287,530.1045584,Choice 2
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",0,68.2029691,65.3240768,71.08186139,944.4595507,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",1,14.24489473,13.05536668,15.43442278,647.3407161,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",2,11.49274804,10.33249295,12.65300314,631.9039029,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",3,11.57490562,10.39872164,12.7510896,631.8451843,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",4,11.32221641,10.14872444,12.49570839,630.4319152,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",5,11.17495551,10.00124268,12.34866834,629.5781888,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",6,9.957942649,8.849286613,11.06659869,623.2294625,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",7,10.01722333,8.90594681,11.12849985,623.5810276,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",8,9.989788698,8.883790964,11.09578643,623.4233515,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",9,9.876724513,8.771961457,10.98148757,622.7860616,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",10,9.892234204,8.786179832,10.99828858,622.8374869,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",11,9.857784143,8.756390027,10.95917826,622.508522,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",12,9.829378329,8.715963129,10.94279353,622.2543508,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",13,9.515801107,8.440663317,10.5909389,620.7354013,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",14,8.976266314,7.922621076,10.02991155,617.9045033,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",15,8.952839841,7.899314562,10.00636512,617.7659013,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",16,8.952839841,7.899314562,10.00636512,617.7659013,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",17,8.954354304,7.902415768,10.00629284,617.7872506,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",18,8.954354304,7.902415768,10.00629284,617.7872506,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",19,8.685009996,7.636997256,9.733022736,616.2971696,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",20,8.685009996,7.636997256,9.733022736,616.2971696,574.8620357,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",0,55.70472659,53.24176052,58.16769266,810.2123512,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",1,12.57417425,11.47284059,13.6755079,585.7152243,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",2,10.34228089,9.268680053,11.41588174,575.7435648,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",3,9.837351785,8.78761428,10.88708929,573.3470167,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",4,9.419101285,8.392902501,10.44530007,571.4476491,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",5,9.484900867,8.451263419,10.51853832,571.748973,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",6,9.473080051,8.438763461,10.50739664,571.6943816,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",7,9.479393761,8.443700606,10.51508692,571.7260983,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",8,9.479393761,8.443700606,10.51508692,571.7260983,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",9,9.617693582,8.578354133,10.65703303,572.7070686,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",10,9.809287235,8.773220211,10.84535426,573.7199757,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",11,9.854521703,8.823442811,10.88560059,573.999348,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",12,9.761874047,8.734827305,10.78892079,573.2170375,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",13,9.95651813,8.925872498,10.98716376,574.436866,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",14,9.8837108,8.854247358,10.91317424,574.1313379,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",15,9.8837108,8.854247358,10.91317424,574.1313379,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",16,9.949105366,8.917545055,10.98066568,574.4328084,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",17,9.948762581,8.916935773,10.98058939,574.4314531,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",18,9.789330975,8.76118138,10.81748057,573.336243,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",19,9.948762581,8.916935773,10.98058939,574.4314531,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",20,9.891361381,8.860062505,10.92266026,574.0992238,530.1045584,Choice 3
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",0,68.2029691,65.3240768,71.08186139,944.4595507,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",1,13.06475772,11.73781421,14.39170123,644.8828563,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",2,7.259929232,6.190532953,8.329325511,613.1277772,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",3,5.441102451,4.454693945,6.427510958,603.0266557,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",4,5.063455441,4.089772033,6.037138849,600.6674974,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",5,5.207169585,4.251186836,6.163152333,601.7548715,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",6,5.246317739,4.312342276,6.180293202,602.0995318,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",7,5.278426303,4.335624172,6.221228435,602.0408651,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",8,5.094255261,4.184539879,6.003970643,601.0107394,574.8620357,Choice 4
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",9,4.50388415,3.626804576,5.380963724,598.4820574,574.8620357,Choice 4
