CS,Endog.,Iteration,Cost,Low,High,EGap,ELow,EHigh
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,321.2654382703951,308.79565321302397,333.7352233277663,0.0,0.0,0.0
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,309.4436092503357,298.3528774543648,320.5343410463067,3.0325872804639324,1.2508490404604735,4.814325520467391
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2,312.79049077784236,302.5983290937377,322.98265246194705,1.7234757669076217,-0.16134252505356006,3.6082940588688035
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,311.45895891418405,301.79302044765495,321.12489738071315,1.8384260618211676,-0.3365054167288337,4.013357540371169
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4,310.88811044705915,301.5072789199163,320.268941974202,1.9299806496673415,-0.27344858348008416,4.133409882814767
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5,312.2286009119155,302.84107844231903,321.616123381512,1.5782001862349233,-0.5248983506464207,3.6812987231162673
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, -0.03, -0.04, -0.05, -0.06, -0.07, -0.08, -0.09]",0,327.69341261482396,315.18166686492106,340.20515836472686,0.0,0.0,0.0
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, -0.03, -0.04, -0.05, -0.06, -0.07, -0.08, -0.09]",1,312.0136292901592,301.1394772759784,322.88778130434,3.8152993386692127,1.6325272611503312,5.998071416188094
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, -0.03, -0.04, -0.05, -0.06, -0.07, -0.08, -0.09]",2,312.356834483561,301.958949294735,322.75471967238695,3.650894460663019,1.6356277231034975,5.66616119822254
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, -0.03, -0.04, -0.05, -0.06, -0.07, -0.08, -0.09]",3,311.2667075477854,301.1408670245455,321.3925480710253,3.8986266030284553,1.8478380612463803,5.94941514481053
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, -0.03, -0.04, -0.05, -0.06, -0.07, -0.08, -0.09]",4,309.28977042831116,299.04743259683534,319.532108259787,4.53798849851902,2.480224816522941,6.595752180515099
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, -0.03, -0.04, -0.05, -0.06, -0.07, -0.08, -0.09]",5,310.530678399317,300.0963306298983,320.96502616873573,4.144610487137621,2.017556523161631,6.271664451113612
"[10, 1, 20, 5]","[0.8, 1.4, 1.9, 2.3, 1.7, 1.2, 0.8, -0.06, -0.08, -0.1, -0.12, -0.14, -0.16, -0.18]",0,329.6950949832528,317.07210944420683,342.3180805222987,0.0,0.0,0.0
