Cost,Endogeneity,Optimal,InfoRelax,Low,High,EGap,EGapLow,EGapHigh
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",680.84067705802,661.8386026261427,642.5347145535277,681.1424906987577,2.7909722600575457,-0.044329554756025846,5.626274074871118
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",461.2113088382133,439.2537401243296,426.3913905350243,452.11608971363495,4.760847857177346,1.9720286450670743,7.549667069287618
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.05]",430.8254505541441,411.3232034134441,399.21062072525115,423.43578610163706,4.526716589193007,1.7152339637786254,7.338199214607388
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",408.93931779326164,396.30436928663715,384.57903356306105,408.02970501021326,3.089687872226558,0.22243221511612532,5.956943529336991
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",353.8632983638721,350.7730145258058,340.37427552476174,361.1717535268499,0.8732987716879741,-2.0653329115422085,3.8119304549181567
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",348.3215684631865,346.8379922168007,336.56336498232656,357.1126194512749,0.4259214417675637,-2.5238319369297066,3.375674820464834
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",1003.4387370948546,947.1512702906912,919.5817185271369,974.7208220542454,5.609457231751505,2.8619500103965327,8.356964453106478
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.1]",644.6303481502536,586.2311792273373,568.9890394287904,603.4733190258842,9.059326649837505,6.384593781919845,11.734059517755165
"[10, 1, 20, 20]","[1, 0.5, -0.1, -0.05]",590.4477277242603,542.4454843693401,526.361122801627,558.5298459370532,8.129804062407562,5.405708293641293,10.85389983117383
"[10, 1, 20, 20]","[1, 0.5, 0.0, 0.0]",555.7567466130505,521.2067218980557,505.64786580370003,536.7655779924113,6.21675308946821,3.417172843402644,9.016333335533776
"[10, 1, 20, 20]","[1, 0.5, 0.2, 0.4]",441.0941609233336,427.86376621462307,414.94326649488744,440.7842659343587,2.999449070242881,0.07025597172409048,5.928642168761671
"[10, 1, 20, 20]","[1, 0.5, 0.4, 0.8]",423.1531065139295,415.65759024550744,403.1270055305947,428.18817496042016,1.7713485150026693,-1.1898928234206012,4.73258985342594
