CS,Endog.,Iteration,OptGap,Low,High,Cost,Optimal
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",0,0.02527416317547143,-0.01370829980221306,0.06425662615315592,641.4179673333041,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",1,-0.0015104697064409044,-0.010777152619770787,0.007756213206888978,641.2525432817254,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",2,0.026868947606597544,-0.011342787150411236,0.06508068236360633,641.432690001247,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",3,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",4,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",5,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",6,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",7,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",8,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",9,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",10,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",11,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",12,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",13,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",14,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",15,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",16,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",17,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",18,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",19,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",20,0.0282156662929692,-0.010144756430454146,0.06657608901639255,641.4433311190919,641.2589357202368
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",0,0.014809558677976493,-0.035160643911415455,0.06477976126736844,524.7787028599363,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",1,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",2,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",3,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",4,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",5,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",6,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",7,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",8,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",9,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",10,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",11,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",12,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",13,0.0542640403168402,-0.0019305886847642423,0.11045866931844464,524.9777455957441,524.6975200120742
