CS,Endog.,Iteration,OptGap,Low,High,Cost,Optimal
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",0,0.1334831140244199,-0.04802069469311637,0.31498692274195617,453.5457976263325,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",1,0.013809508147520695,-0.12394991360374105,0.15156892989878243,453.21550533321044,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",2,0.0025279605205066496,-0.13697778151879522,0.14203370255980854,453.16885412094314,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",3,0.0049835634306990145,-0.1342112021925289,0.1441783290539269,453.18200645947053,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",4,0.01898790480852796,-0.11859391587411497,0.1565697254911709,453.24853924061597,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",5,-0.015747092706977803,-0.1539979478395423,0.12250376242558669,453.10840998291377,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",6,-0.015747092706977803,-0.1539979478395423,0.12250376242558669,453.10840998291377,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",7,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",8,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",9,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",10,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",11,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",12,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",13,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",14,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",15,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",16,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",17,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",18,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",19,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.2]",20,0.0427115852563451,-0.11417824153575365,0.19960141204844387,453.3664892679688,453.1938131723298
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",0,0.6087671903732489,0.3031441457264388,0.914390235020059,420.1417812927171,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",1,1.2206159662269853,0.8308398410240342,1.6103920914299366,422.6927291416505,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",2,1.1479477906539346,0.7694527361492022,1.526442845158667,422.4366150941385,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",3,1.1391874584854467,0.7745317380617005,1.5038431789091928,422.564622388283,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",4,1.1388183180385372,0.776482733133359,1.5011539029437153,422.6464488710807,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",5,1.1066113167032436,0.7457847371509863,1.467437896255501,422.51885563907666,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",6,1.0349020503506403,0.6734522321881329,1.3963518685131477,422.2334078288116,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",7,0.9545118305787561,0.5979843177049976,1.3110393434525145,421.92655469421436,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",8,0.921793098738745,0.5666211769609981,1.276965020516492,421.7961823054193,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",9,0.9164897198914509,0.562680316103088,1.2702991236798138,421.7924290573784,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",10,0.9359614966837493,0.5826630169819913,1.2892599763855073,421.8737526419102,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",11,0.9243391746047522,0.574507421665748,1.2741709275437565,421.81347531102654,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",12,0.9121968332423679,0.5627317281502378,1.261661938334498,421.7877607645135,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",13,0.9121968332423679,0.5627317281502378,1.261661938334498,421.7877607645135,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",14,0.9121968332423679,0.5627317281502378,1.261661938334498,421.7877607645135,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",15,0.9121968332423679,0.5627317281502378,1.261661938334498,421.7877607645135,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",16,0.9121968332423679,0.5627317281502378,1.261661938334498,421.7877607645135,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",17,0.9121968332423679,0.5627317281502378,1.261661938334498,421.7877607645135,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",18,0.9121968332423679,0.5627317281502378,1.261661938334498,421.7877607645135,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",19,0.9121968332423679,0.5627317281502378,1.261661938334498,421.7877607645135,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.05, -0.1]",20,0.9121968332423679,0.5627317281502378,1.261661938334498,421.7877607645135,418.38283773999825
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",0,0.240253819455283,0.011939130816618376,0.4685685080939477,434.8819709950629,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",1,0.6133159980478468,0.34684052140818683,0.8797914746875066,436.32036688460903,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",2,0.5180155712313859,0.25518016594752974,0.780850976515242,435.8601358195303,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",3,0.5370126243727079,0.27394974753811263,0.8000755012073032,435.9348871715285,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",4,0.5053575246863146,0.24529596098041512,0.7654190883922141,435.8205001432189,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",5,0.5053575246863146,0.24529596098041512,0.7654190883922141,435.8205001432189,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",6,0.5053575246863146,0.24529596098041512,0.7654190883922141,435.8205001432189,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",7,0.5053575246863146,0.24529596098041512,0.7654190883922141,435.8205001432189,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",8,0.5053575246863146,0.24529596098041512,0.7654190883922141,435.8205001432189,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",9,0.5135023169492676,0.25425975667345124,0.772744877225084,435.86141019763284,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",10,0.5135023169492676,0.25425975667345124,0.772744877225084,435.86141019763284,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",11,0.5135023169492676,0.25425975667345124,0.772744877225084,435.86141019763284,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",12,0.515627458674196,0.25653000647549423,0.7747249108728977,435.87114389893736,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",13,0.515627458674196,0.25653000647549423,0.7747249108728977,435.87114389893736,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",14,0.515627458674196,0.25653000647549423,0.7747249108728977,435.87114389893736,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",15,0.515627458674196,0.25653000647549423,0.7747249108728977,435.87114389893736,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",16,0.515627458674196,0.25653000647549423,0.7747249108728977,435.87114389893736,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",17,0.515627458674196,0.25653000647549423,0.7747249108728977,435.87114389893736,433.9978966004463
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",18,0.515627458674196,0.25653000647549423,0.7747249108728977,435.87114389893736,433.9978966004463
